sentence	sentiment
只是控制和手感恐怕没有这么舒服感受在对焦的时候有些犹豫	negative
画面也惨不忍睹	negative
这点额外的福利也挺不错	neutral
因为经常看到有人说的声音一塌糊涂完全没有发挥半透镜优势的对焦张/秒的连拍速度	negative
以致于的超长焦加增距后在上没法自动对焦了	neutral
的手感虽然少了的厚重感最大的问题是为小体积而小体积	positive
但是便携性较差只是开电池舱盖和卡舱盖的时候能明显感觉到塑料的做工	positive
中间会有停顿	neutral
主要是背照式	neutral
快门触感变深而且很象没有录像	positive
微距自动对焦较慢目前看感觉照片效果不如上周买的的松下	negative
强标准弱	neutral
可喜的是	neutral
补充说明	neutral
价格也最高	negative
由于没有找到官方说明	neutral
的遮光罩为什么总是做的很松键位设置不如全副方便	negative
不多说	neutral
感觉做工方面远胜	positive
我就把相机收进包里了	neutral
感觉差不多	neutral
液晶屏像素太低手柄突出部分和镜头对焦环之间的空间挤了点	negative
其实拨杆真的很好用	positive
切机身严防磕碰用转接要好很多但又没有了自动对焦	positive
结果对焦和色彩让人失望几个小按钮的感觉也是如此	negative
键位设置不如全副方便	negative
色彩太假我手持拍摄的出片率较低	positive
就说下设计上的不足	negative
但近期不打算入手	neutral
有点墨迹的感觉额	neutral
还有就是开关位置附近感觉有旷量	neutral
问题是体积也没见小啊对焦精度太差了	positive
但天空基本没有过曝	neutral
色彩感觉没有原来的容易调整那感觉和效果是脚底抹油也赶不上	positive
我又以单机身价格买进	neutral
后来熟悉后就发现的按键设置的还是比较合理的	positive
别说绝对完美	neutral
测试快门无坏点	neutral
因为机器比较小	neutral
就是对焦前先来回抽一下让人蛋疼切机身严防磕碰	positive
户外旅游和日常工作记录	neutral
夜景手持真的很吃力	negative
虽然在强度上有些降低试过边缘对焦	negative
微距自动对焦较慢就是快门声音不怎么样	negative
就只是怪的色彩	negative
可是它的机械性能又实在是不好	negative
总的感觉还是相当不错	neutral
还有使用的三款镜头与可以使用	neutral
风景摄影表现一般外观既没有时尚	positive
而是采用了一样的设计	neutral
这台相机	neutral
这次就重点玩和了	neutral
高感不好机身塑料感强轻	negative
原来单反机身的合焦提示	neutral
反正一般不会对不了焦	neutral
色彩灰暗奥巴的/镜头也是个大块头	negative
一块电池可以拍到张以上	neutral
为了能让骚尼能引起重视	neutral
机身质感佳	positive
二是尽量别逆光甚至侧光拍树木	neutral
给人的感受是觉得机器迟钝了一点	neutral
机身塑料感十足如果能有对焦微调	positive
不过我没有去过高寒地区	neutral
十分扎实	neutral
我最不满意的是那个删除键感觉机身的自动白平衡有点问题	negative
>>>	neutral
基本打算换门了	neutral
高感有说不如的目测对焦速度慢于	negative
塑料感强左侧的接口布局有了改变	negative
不会产生磨光的情况	neutral
切换成后能看到一个明亮的大大的对焦框很有旁轴机拍照的感觉	neutral
每次拍摄前	neutral
只不过应该会耗费不少电力吧我的就是最小的暗部噪点也清晰可见	negative
目前看感觉照片效果不如上周买的的松下只是控制和手感恐怕没有这么舒服	negative
目前还没有配的既小巧又足够强大的闪光灯但那对焦速度我是受够了	positive
主要是高清视频录制清晰度差窃以为还是的软件功底差了	negative
色彩不够鲜艳但实际试用发现对焦迟滞太严重	negative
液晶屏无法关闭盲拍但是感觉跟还是有一定差距的	negative
看了一些朋友的帖子	neutral
操作	neutral
可谓全方位的升级	neutral
为什么照片这么小	negative
不如做工好用过/系统的人绝对会受不了的触摸屏	positive
本人手属于比较大的单手能抓篮球	neutral
就是格式照片有点偏大本人用寸笔记本奥巴的机器握感都不好	positive
张张准确	neutral
我的就是最小的暗部噪点也清晰可见和的高感成像质量相比较而言就有些惨了	negative
原图自己电脑上看很清楚	neutral
它相机里电池自行放电由来已久总的来说用来拍人像肤色怪怪的	negative
不过就短暂体验得出的的总体表现来说	neutral
感觉夜景拍摄也很不错	positive
反差较小时镜头还会拉风箱	negative
档的超级功能木有了就是色彩比较淡	positive
这机的性价比可以说得上极高的了	positive
连续自动对焦的速度是最差的虽然在强度上有些降低	negative
这无疑在一定程度上提高了该机的便携性	positive
正好发挥了特点	neutral
价格相对昂贵当然这也许是白平衡的问题	positive
机器有双波轮	neutral
我说说我个人的看法吧	neutral
是抱着复古	neutral
但我买这机就准备了玩手动头	neutral
相隔十年购进了	neutral
出来的片子更糟对焦太慢了	negative
现在多出来的锁定键做的太没有确实有点影响出片率	negative
几个小按钮的感觉也是如此对焦速度是目前单电系统软肋	negative
要降低售价就得降低成本	neutral
但是多年的经验告诉我	neutral
白平衡只能菜单调	negative
最喜欢换镜头时封闭的设计	positive
其实相机比镜头稍重一些用起来会更趁手	neutral
质量还不如以前的用转接要好很多但又没有了自动对焦	negative
最大的问题是为小体积而小体积	negative
完全没有发挥半透镜优势的对焦张/秒的连拍速度画质偏软	negative
我估计淘宝水货应该在元左右	neutral
人像肤色微单中可以算是无敌的	neutral
一查那种是元	neutral
没什么用处就一姐夫机的大小	negative
即使顺光	neutral
应选择适合自己有长远的前途的系统	neutral
做工一般只是控制和手感恐怕没有这么舒服	positive
机器到手熟悉了一下	neutral
外拍时会以主打	neutral
色彩灰暗微距自动对焦较慢	negative
但可以接受	neutral
仅此而已	neutral
档有问题用转接要好很多但又没有了自动对焦	positive
现在谈一些个人感受与大家分享	neutral
但我没有在包装里面找到高清视频线画质没有什么出彩的地方	negative
感到出来的片子还清晰些	positive
	neutral
可是它的机械性能又实在是不好和的高感成像质量相比较而言就有些惨了	positive
小五就成打酱油的先对焦后构图速度太慢且容易焦点偏移	positive
色彩不偏差录像按钮	negative
可是看镜头和光学取景器的位置似乎也不能再小了	neutral
但整个套机拿在手里也没有向别人说的那样小	neutral
多少对目前的几款热门机有了一些体会	neutral
目前我主要使用/这只镜头作为人像之用	neutral
而且很象没有录像	negative
带来的问题就是握持感除了没有触摸屏以外	positive
同时也完全替代了翻转屏的功能	neutral
如果你手头紧	neutral
锐度偏低价格相对昂贵	positive
不过也在乘车回去的途中粗略试了一下	neutral
我个人并不是太喜欢	neutral
所以你购买的时候可以直接拿一个套机	neutral
带来的问题就是握持感防抖没有想像中管用	negative
人脸识别识别率木有手机或者强夜景手持真的很吃力	negative
价钱不算低附带的解软件解出来的效果非常差	negative
相当于是和的结合体	neutral
实在太吵了	neutral
我朋友月出厂的机子也一样进灰	neutral
试过边缘对焦不过对大光比的控制方面明显不如全副	positive
感觉高感效果和宽容度不亚于原来的	positive
同样的亮度噪点和色度噪点	neutral
而的握感有种让我很放心的感觉	positive
切换可以看到全部选项	neutral
两者的差别可能不是很大	neutral
拍出来的照片色调有些奇怪就是成像似乎不像是微单的水平	positive
操控绝对是蛮专业的	positive
转盘和那个十字大按键有些容易误操作	negative
换镜头时候请注意进灰问题	neutral
减少心里和身体的负担	neutral
城市风光	neutral
但有样机就试试吧	neutral
因此适合的拍摄范围是风光	neutral
早点不呈现聚集状态	neutral
总结	neutral
后者有些老了	neutral
但是便携性较差因为经常看到有人说的声音一塌糊涂	negative
邀请它的会员去试用	neutral
自动对焦较慢屏幕用这么差的材料	negative
难道真要节约那么几克材料吗	neutral
高感就不要太奢求了这只镜头配合起来就有点问题	negative
感觉菜单比合理	positive
所以有些片子专门用了高拍摄	positive
光圈大	neutral
握着比较舒服	neutral
奥巴的/镜头也是个大块头对焦速度慢这个完全不能和单反比啊	positive
试过大了点	neutral
表现在波轮的阻尼按钮布局以及显示屏质量等细节方面	positive
不过	neutral
价格相对昂贵操作够复杂的	negative
顺便吐槽这几个新出的镜头目前还没有配的既小巧又足够强大的闪光灯	positive
塑料感强用的时候快门声音很怪	positive
和的比似乎就少了点相位对焦点几个小按钮的感觉也是如此	positive
这是镜头太水的原因速度奇慢	positive
的遮光罩为什么总是做的很松	negative
可能握持上不是太舒服的对焦	positive
镜头方面也有不足的地方自动对焦较慢	negative
我认为这不是缺点	neutral
带着这个机器	neutral
的退市缺货	neutral
特别是拍摄人像时表现的肤色保持了一贯讨人喜欢的格调	positive
底感差但在基本的锐利度表现	positive
玩了半年就出掉了主要是边缘成像太差色散严重比偏红偏假的色彩	positive
就是我觉得把闪光灯的位置如果让给取景器更好	neutral
机身方面	neutral
没有内闪色彩不偏差	positive
但是长焦是外变焦电池续航能力一般	positive
大而通透的镜头实在是很帅	positive
快门很轻	positive
很麻烦	neutral
本人手比较大	neutral
片子发暗种种现象画面颗粒感较强	negative
暗部对焦拉风箱不过手感一般	negative
之后就是缺点了	neutral
电池使用寿命短不过该机器已经设计了外接电源的线孔操作够复杂的	negative
一个小姑娘	neutral
在了解其对焦性能后	neutral
个人使用感受	neutral
反差较小时镜头还会拉风箱格式连拍坑爹	negative
洞妖的平均只有	neutral
难怪很多买了的人都叫爽	neutral
快门速度光圈和感光度等都可手动精确设置	neutral
接下来就是痛苦的感受了	neutral
对焦精度太差了像素密度太密了	positive
既可以享受更换镜头的乐趣	neutral
啥时骚尼把这些不足改正改进了这些不足	neutral
目前看感觉照片效果不如上周买的的松下速度奇慢	positive
因此一切都是按机身默认拍摄的	neutral
机身操作	neutral
这元就是全属机身	neutral
经能把合焦点放到眼睛上	neutral
这机子分大陆版和世界各地版	neutral
塑料前脸仍然没有升级成合金材料出来的片子更糟	positive
所有的宣传照片	neutral
拍女儿	neutral
重量的减小	neutral
在暗处对焦边缘对焦点无力也是如此的设计	positive
毕竟是定焦	neutral
价格相较多出来的部分去换/的快门和个对焦点并不值得	neutral
锐度也可以接受	positive
导致机器和三脚架快装板之间的摩擦力小	neutral
也是如此的设计画面颗粒感较强	negative
而且只敢用中心对焦点	neutral
的对焦屏比较简单的感觉	negative
个人猜测原因有三:	neutral
最近对焦距离也越远	neutral
我平时一般用光圈优先	neutral
首先说明下	neutral
很厚道	neutral
相对上代产品来说	neutral
不同对焦模式有所标识	neutral
也是如此的设计这是镜头太水的原因	negative
在暗处对焦边缘对焦点无力色彩灰暗	positive
比如储存卡用的卡的价格是元	neutral
下面还是说说它的出色之处吧	neutral
我手持拍摄的出片率较低但我宁可这样也不要糟糕的做工	negative
不一样了	neutral
除非拍微距	neutral
总体上给我的感觉这套系统对焦性能和差不多电池使用寿命短不过该机器已经设计了外接电源的线孔	negative
对焦速度慢但对色彩的处理还不如众老厂经验丰富	positive
这也是我先上了的重要原因之一	neutral
只有从机顶看觉得造型怪异些快门声在体验时最想让我吐槽的就是它的快门声了	negative
最烦人的是不能全时手动快门声在体验时最想让我吐槽的就是它的快门声了	negative
但是似乎盖不严格	neutral
本来一直没有打算买的	neutral
也可以收到好的效果	neutral
我估计她都分不出和拍的照片有啥区别	neutral
我发现的色彩非常干拍出来的照片色调有些奇怪	positive
不过与相比的机身确实短了一些从左到右方向机械快门线的确蛋疼	negative
现在个月了	neutral
对焦速度很快这个与其定位相符	positive
没有功能说明他的电子设计和技术较低端	positive
取景器切换时候会有遮挡无摄像功能	negative
屏幕用这么差的材料长焦端没有防震	negative
上周试了一次机	neutral
补充一点	neutral
会更少的浪费钱	neutral
比雷克莎的便宜很多	neutral
只不过应该会耗费不少电力吧没有任何提示和显示	positive
是时候总结一下了	neutral
只是属于最严重的一类除了价格比较高一些	positive
第三层	neutral
电池续航能力很强	positive
如果你连续拍	neutral
试过薯片///	neutral
没有机内除尘是个问题但在大光圈长焦和闪光灯上还有不足	positive
就不妄加评论	neutral
谁都希望以最低的价格拿到最好的东西	neutral
口径做大一点点	neutral
现在这个样子怎么看怎么像镜头长倒过来似的	negative
非常的人性化	neutral
但是对上的都比较准确	neutral
但因为绿屏问题实在让我觉得膈应就是的色散比重引起的	positive
以前很多人都说的机身差此头焦外绿边十分严重	negative
的对比对焦显然没有的相位对焦快整体感觉就是一入门机的样子	negative
还好一般足够了	neutral
就算到的情况下缩小图还是有不错的实用性	positive
就是成像似乎不像是微单的水平可是定焦也太小气了	positive
一些印象	neutral
有不少片子都是高下拍摄的	neutral
下面是我拼装好以后的效果	neutral
机身右上多了的标志	neutral
这下有地方使唤了	neutral
和的高感成像质量相比较而言就有些惨了其实松下除了画质外	negative
人像就慢了	neutral
如果能有对焦微调存储速度慢	positive
正面太滑我觉得的机身手感很不理想	positive
这景深伤不起快门声音真心不好听	negative
白平衡简直就是一模一样	neutral
现在价格很好	neutral
还在熟悉中	neutral
我一般不用闪光灯	neutral
对于画质这方面	neutral
之前	neutral
调整曝光组合时的操控性自然不错	positive
相对于的超高像素	neutral
近日	neutral
不过对大光比的控制方面明显不如全副高感有说不如的	negative
微单用过	neutral
那买小	neutral
肤色偏金黄色奥巴的机器握感都不好	positive
个头不小	neutral
而且这种东西自己清理或者送售后都比较方便	neutral
这个太无敌了	neutral
楼下随便拍了几张	neutral
其它什么对焦很快什么的不关我事	neutral
进就进吧	neutral
首先说说机身	neutral
镜头原以为直接重新买个腾龙的头就可以了以前用下来觉得锐度背景相当好	neutral
有人说能看到镜头	neutral
拇指位置的两个多功能键不再兼顾图像回放的缩放功能	neutral
镜头突出很多操作够复杂的	negative
但实际功能很实用	positive
结果对焦和色彩让人失望	negative
对焦点有点集中没有多次曝光功能	positive
首先继承了系列相机的一贯优点小巧	neutral
也许铁丝看惯了	neutral
接图的效果也不如就只是怪的色彩	positive
而且定价太高了我的就是最小的暗部噪点也清晰可见	negative
	neutral
因为在更多的细节率的情况下	neutral
但实际试用发现对焦迟滞太严重炒冷饭	positive
肤色偏黄拍出人物的皮肤较硬	positive
镜头方面也有不足的地方照远景效果比许多机子差	negative
太方便了	neutral
的确的背景虚化不太好做没有防水防尘	positive
我认为这款机是完美的	neutral
但我却很喜欢真实的色彩就是的色散比重引起的	negative
再看后来出现的哈苏	neutral
因为经常看到有人说的声音一塌糊涂对焦慢	negative
听起来有点不爽	neutral
不愧是做家电出身的	neutral
大部分都是鲜艳模式直出	neutral
下图因当晚风大机器不稳清晰度有些受影响	neutral
色彩灰暗和的高感成像质量相比较而言就有些惨了	positive
所以出行的话	neutral
没有内闪屏幕太破了	positive
正面太滑且目前售价也略高	positive
机身	neutral
机背液晶屏竟然是塑料的高感就不要太奢求了	positive
对焦框不会显示但在自动对焦操控感受上还存在一定差距	negative
可以说罕有敌手	neutral
但由于机身比稍大	neutral
奇了怪了	neutral
合焦精准	positive
跟全开都能对上	neutral
哪里需要拨轮	neutral
操作系统反映速度很慢整体感觉就是一入门机的样子	negative
照片成象色泽自然柔和	positive
我觉得可能会好点	neutral
还可以在录制视频的同时更改对焦点	neutral
白平衡同样快门速度	negative
存取慢附带的解软件解出来的效果非常差	positive
我想说明一下	neutral
不过具体还要看个人的标准而定	neutral
使用的卡的至少要多	neutral
和开头的机器甚至开头的机器都不相符的塑料卡口明显敌不过	negative
任何题材能胜任	neutral
液晶屏像素太低但是强劲的机能会弥补画质的不足	positive
对这个屏幕回放看照片的效果也是完全能接受的	neutral
如果我用的/	neutral
其实个人感觉左一串	neutral
用电子取景器有镜头感方便构图省电	neutral
机内测光容易出错导致过曝手动对焦更慢一些	negative
但实际试用发现对焦迟滞太严重的对焦	positive
/的快门大家都非常郁闷	negative
不过买的人也少	neutral
端畸变较大	neutral
手感不错	positive
快门打到尽然有重影但是感觉跟还是有一定差距的	positive
但是屏幕实在不堪入目操作系统反映速度很慢	negative
没有防水防尘的手感虽然少了的厚重感	positive
一直对手机照相摄像不感冒的我第一次被吸引住	neutral
试机感想	neutral
整体操作来看	positive
最佳的集成化	positive
跟有了变化	neutral
操控对焦都很给力虽然有的镜头个对焦点不能都发挥作用但是也很好了	positive
特别是户外旅游中	neutral
就一姐夫机的大小画面颗粒感较强	negative
就是成像似乎不像是微单的水平除了价格比较高一些	negative
这种帖子一定不乏楼主傻做梦去吧自己造一台之类的回复吧	neutral
的遮光罩为什么总是做的很松软件不太好使	positive
随时你都可以把它戴在身边	neutral
成像属于最好的一类	positive
虽说不太认同感动家的机身设计存取慢	negative
电子取景器感觉不到任何时滞	positive
左侧的接口布局有了改变不过对大光比的控制方面明显不如全副	negative
加小痰盂基本迅速一次到位	neutral
这头的对焦环	negative
不知能拍多少张	neutral
至少我现在只有一个是这样	neutral
功能不如直出太差了	negative
而且很象没有录像塑料前脸仍然没有升级成合金材料	negative
快门触感变深但对色彩的处理还不如众老厂经验丰富	negative
基本上能录到比较满意的高清了	neutral
要说的缺点	neutral
如果要个能扎扎实实陪着你打硬仗的家伙	neutral
因为之前的的画质堪称垃圾操作系统反映速度很慢	negative
对电子取景器还是略有不适应	neutral
致命的阳光下看不清屏幕电池续航能力一般	positive
镜头为	neutral
操作系统反映速度很慢的机身依旧采用工程塑料	negative
经常是/秒	neutral
机身里面包含了很多常用镜头的数据	neutral
屏幕增大	positive
是否已经对好焦不管	neutral
对焦框不会显示操作的时候小里小气的	negative
下班路过	neutral
还可以扩展	neutral
操作系统反映速度很慢你总感觉的倍变焦是骗人的	negative
除非挂得很好	neutral
这几年被他们折磨得快要精神分裂了	neutral
结果大吃一惊它的高感在时居然和我的差不多	positive
液晶屏里一看	neutral
真的就是系统慢了点对焦真的没什么优势	positive
高感的确惊艳	positive
绝对不会在最前端的厘米处突然收缩镜筒	neutral
有时候界面操作都会有些许延时现象	negative
顶多就是看起来专业一点	neutral
优势明显	neutral
对焦测光出片白平衡基本都后期调整	neutral
强调那么多领先的功能没有必要	neutral
本人从被偷因视频功能转到上全幅后觉得太沉因视频功能和轻巧转松下到松下因画质不好试用奥林巴斯后觉得噪点偏多而转再到	neutral
也是如此的设计且目前售价也略高	negative
还是要上系	neutral
这样的充分充电和放电操作应该在正常充放电次后再重新执行一次	neutral
操控缩水	negative
时更多	neutral
机身蒙皮磨蚀严重快门触感变深	negative
特殊的	neutral
没有反差较小时镜头还会拉风箱	negative
没什么用处	negative
先对焦后构图速度太慢且容易焦点偏移	negative
机内测光容易出错导致过曝最不满意的也就对焦系统了	positive
捏在手里的感觉便是高端和让人略带一点点虚荣	neutral
但色彩略差于其次是那个主拨盘	negative
画质	neutral
没有直出太差了	negative
不过也是微小的差距	neutral
也是丑的要死	neutral
机子挺沉的	neutral
密封不好等微距自动对焦较慢	positive
变焦感觉有点慢哦液晶屏无法关闭盲拍	negative
至少秒	neutral
转轮和八向键比较好用或许是因为我没有尝过摇杆的厉害吧	positive
一是太小完全不像是消费专业级数码相机的水平感受在对焦的时候有些犹豫	positive
吵的很	neutral
完全不习惯	neutral
但按现在的要求	neutral
某家只有一台	neutral
格式持续连拍时	neutral
感谢大家忍受浏览	neutral
但是阳光下的远景分辨率说句不好听的就像手机拍的一样而且紫边也不小目前价位还是高于的	positive
简单后期照片导出时还是很慢电池太渣	negative
这是我没想到的	neutral
和差了几档	neutral
在这点上	neutral
最惨的是	neutral
欢迎交流	neutral
但是长焦是外变焦的非常差	positive
并且可以往下扩展到	neutral
比如白平衡没有显示对对焦点的明暗反差要求比较高	positive
我还是喜欢单反	neutral
另三个机器都差不多	neutral
有个模特美眉供摄友拍摄	neutral
这货跟工作电流也是直接关系的	neutral
配置一般肤色偏黄	positive
看着取景器里的对焦点从模糊清晰模糊清晰的过程的确有砸机冲动的噪点属于比较大色斑	negative
价格换算后为	neutral
我们用与其相比是不现实的	neutral
至少我本人真没觉得怎么样	neutral
也是如此的设计还有就是确实存在严重的屏偏绿的问题	negative
然后依靠拙劣的或光影魔术技术后期对照片进行一番美化	neutral
快门声确实像玩家说过的那样	positive
而腾龙出片我个人感觉比较像一个数码记录图像	negative
长焦端没有防震画质没有什么出彩的地方	negative
我基本上能接受	neutral
色彩不正及过渡不好的对焦屏比较简单的感觉	positive
的对比对焦显然没有的相位对焦快但是强劲的机能会弥补画质的不足	negative
大大提升了相机使用寿命	positive
这个家里领导很喜欢	neutral
我玩很久的	neutral
没有	negative
价格贵不少的对焦屏比较简单的感觉	negative
再看新拍的照片也没有之前的重影了	neutral
一直期望拿到一部得心应手的机子	neutral
外观变丑了画质偏软	positive
对焦叽叽的叫声让你觉得随时要坏也有紫边	negative
对于有人说它是塑料机身没有内闪	negative
的解像度可能很高	positive
长焦端光圈显得小了些暂时还不够丰富的系统	negative
最终还是听人劝吃饱饭	neutral
操作起来问题不大	neutral
色彩灰暗一是太小完全不像是消费专业级数码相机的水平	positive
正面太滑我最不满意的是那个删除键	negative
只是控制和手感恐怕没有这么舒服和的高感成像质量相比较而言就有些惨了	negative
底感差没有功能	negative
在这个上边觉得应该更大胆些	neutral
我入手是从开始的	neutral
工业设计还行	positive
全副镜头在上广角损失严重	negative
感受在对焦的时候有些犹豫	negative
我以前在小五上用都木有感受过	neutral
还是和拍摄的设置要不一样一点啊	neutral
结果对焦和色彩让人失望玩了半年就出掉了主要是边缘成像太差色散严重	negative
而且使用速度狂慢我用的是苹果一体机的对焦	negative
其次处理器的使用	neutral
机内可调整选项不少	neutral
致命的阳光下看不清屏幕液晶屏无法关闭盲拍	positive
另外还有一个的定焦镜头	neutral
和的高感成像质量相比较而言就有些惨了在肩屏的信息显示量上也不够丰富	negative
中端机型惯用的回放放大操作有了较大的改变	neutral
的两大缺点该怎么拯救	neutral
打开那个功能后	neutral
我想到一个问题头应该也有相同的问题吧	neutral
机身倒是苗条	neutral
首先是那个和啤酒瓶子盖一样的模式转盘发现对焦速度有所降低	positive
感动的操作不熟悉	neutral
万像素的照片最精细才不到	neutral
这是镜头太水的原因似乎码率不够	positive
甚至快门声音都会影响到你的创作过程从而对摄影作品产生直接的影响	neutral
感觉开关拧到距离过长就是紫边太严重	positive
但对于新手确实是很实用和好玩的功能	neutral
就是不太方便	negative
且目前售价也略高但我却很喜欢真实的色彩	negative
细节较多画面也惨不忍睹	negative
还有那个	neutral
对焦的速度上并不是很突出人脸识别识别率木有手机或者强	positive
的噪点控制比要好	positive
就一档么	neutral
自动对焦较慢说明他的电子设计和技术较低端	positive
蛋疼的紧	neutral
这样的设计也挺合理	positive
片子发暗种种现象用的时候快门声音很怪	negative
在这个选项上有三个	neutral
小黑虽然部分焦段锐度跟不上对焦叽叽的叫声让你觉得随时要坏	negative
问题是体积也没见小啊	negative
但是长焦是外变焦感觉手柄还是略小	negative
虽然不如那么专业	neutral
加上机身是全画幅的	positive
机身轻小后的缺陷装个都觉得头重脚轻比如确实有一定的进灰问题	positive
不知道是显示问题还是什么问题好少啊	neutral
或者买单反就是为了拍自己女友老婆家人	neutral
的工业设计真是倒退了三十年	negative
二是体型偏大了所以让人感觉塑料感稍重	negative
变焦感觉有点慢哦没什么用处	negative
电子取景器有时滞六的手动对焦环是假的是对焦环不是变焦环它的手动变焦环很爽	negative
那用数据线连接相机	neutral
色彩的话说明他的电子设计和技术较低端	positive
比如自己的小孩的朋友可以考虑买的和	neutral
我发现的色彩非常干四没有防抖	positive
很多人也吐槽为什么不用全金属	neutral
只是控制和手感恐怕没有这么舒服连续自动对焦的速度是最差的	negative
一个原配的电池已经够用了	neutral
也许不久的将来可以通过固件就能升级	neutral
本以为系列很难超越了	neutral
这种机器看来够我用个年了	neutral
感觉的操作习惯和的正好相反	neutral
片子发暗种种现象	negative
标准套机手感还行	positive
完全没有发挥半透镜优势的对焦张/秒的连拍速度	negative
至于有没有必要	neutral
片子发暗种种现象密封不好等	positive
对焦点有点集中无摄像功能	positive
